FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
23673,78207,83919,98009,126489,165182,185104,355617,852102
22340,77320,82780,99538,125088,163709,189047,352887,844043
22726,76478,83393,102688,127512,166343,181296,338475,849231
23438,76415,82879,97197,133771,175955,182989,354807,831621
22618,77233,82784,100176,137619,164846,181912,352355,880953
22473,76316,83642,102215,142881,176376,185160,341008,841762
22148,76397,82680,98896,133594,174051,181908,360422,857211
22357,76332,81577,99360,132638,164780,183523,366904,837434
22129,76691,82012,102026,131518,165281,183474,355624,826280
23202,76661,82092,97767,128868,165488,190994,348153,835252
22030,77771,82047,97780,133744,164802,185618,337828,904185
23499,75998,84021,98514,128457,175007,187842,343240,843564
23423,76289,82895,100821,134977,164983,186324,345188,845626
22484,76485,82652,96711,133954,175798,183429,352478,843648
22537,76240,81501,96442,134589,172080,181738,357468,872452
22171,76631,82124,99531,140613,164089,183992,353226,817273
22573,76390,81460,97275,137103,172921,179420,547524,825124
22893,75850,83247,97299,137679,174921,178356,369718,835023
22208,76102,81846,97555,133725,164673,183450,361129,859100
22515,76691,82615,101293,134635,174318,187711,355040,860733
23717,76107,81256,98880,133881,175373,185343,347473,853437
22601,77458,81549,94579,125348,165629,184361,360119,864633
22035,77066,82710,98771,130472,176365,185487,355745,841473
21890,76347,84182,96467,123602,169725,183815,363694,858881
23881,76763,82539,96610,138755,164715,184283,344841,849432
21666,98461,81056,101362,139405,165426,196187,363551,833112
23161,79492,81035,97618,134581,165115,181264,348959,826132
22358,77700,80982,96610,136990,168128,185392,356231,919976
21975,77484,81242,98038,133659,164751,184276,345836,853493
22045,77298,81821,101725,136445,164037,184957,340428,838870
22482,76952,83102,99044,138828,164704,182065,561862,899933
22412,77904,82094,99525,135187,171015,509705,379812,765259
22488,77508,81901,103356,127775,170768,645103,365643,836210
22063,76594,82165,97175,132854,164347,1762078,367597,811306
21971,76945,82382,98175,134964,174853,855212,359911,838395
22213,77030,82046,95926,134009,164426,287365,345604,861193
21506,76368,82914,97017,138080,164662,284926,344164,855166
22731,125858,81955,97365,136725,174075,280463,353276,851589
22194,77121,82088,96345,135757,170222,293899,343430,744916
23026,76354,82323,100000,133125,165003,281769,349232,856906
22447,76717,81667,97510,131407,165605,287796,339609,832271
22119,77899,81380,98762,126983,164154,282116,341471,841836
23524,76974,82669,107627,134050,164150,284711,349783,847118
22252,75634,82959,98294,136710,162755,279454,355840,795525
22706,76461,83145,96322,131427,168088,279930,356845,855744
23328,75682,84457,97516,139246,166178,291159,356694,962685
22639,76716,82613,103366,145804,165705,284979,371049,825118
22471,76359,82649,96647,136526,165220,286752,342255,1041845
21707,77137,84099,96952,129118,163985,284349,559890,1309607
22326,76075,83227,102941,127447,175407,289551,383108,1004961
22422,76296,82835,102880,125273,164004,287251,367265,1222501
21612,82158,81896,96443,128048,165814,279761,363174,843560
22792,77441,82006,98435,128161,164755,282590,358022,901722
21752,76808,81149,103695,129528,164792,278835,356941,802147
21885,76099,83819,99799,126897,176641,279835,346612,871859
23010,76361,83116,98178,135830,165573,280210,355127,850228
21822,76237,81297,100613,145491,163552,288079,347650,871882
22295,76231,81932,98149,124935,177292,276790,349134,2747769
23258,76111,81555,98171,128633,164121,280468,340401,1504638
23350,77166,81775,105897,127213,175140,279166,341710,882361
21850,75989,89724,98758,130285,176187,279267,348022,867485
22251,76159,82074,97956,133319,165301,292417,346404,897197
21615,77700,82448,97878,128220,165763,289560,346914,892457
22689,76647,82186,101215,129314,172005,280695,509214,797559
22620,76673,82989,100427,126506,165789,279136,351339,861774
22916,77575,82086,96790,127792,164063,278056,357614,760674
22677,76867,82912,101271,133237,165011,280584,351064,804862
23382,76839,82298,97797,131978,165176,290198,352240,867283
23462,76035,81759,96275,129172,163697,289177,348650,811329
23027,75858,81705,96350,126355,172780,280102,357846,852610
22108,76157,81375,99359,129454,173349,279699,355621,872963
22448,76215,82627,97122,124818,163658,278914,361779,855532
22350,77589,82103,94725,127902,164988,289790,340856,810289
22307,76503,82613,97728,131313,173828,280639,342048,838502
24307,76947,82318,95801,124701,164349,280776,353882,855518
22057,76930,82211,95348,133533,164277,290027,349916,859757
23341,76764,81905,98034,134511,164187,278584,345456,873823
22225,76209,81177,97588,137243,163585,279757,360353,835819
22715,76090,82311,99256,133135,165362,287388,503992,850483
22737,75708,83367,98528,127442,167733,277813,360828,865726
22306,76384,81790,99541,157944,165417,278751,346398,921346
22393,76500,81841,97568,133105,167527,278700,376355,850034
22540,77217,81039,97458,137050,165228,287040,362545,866539
22543,77571,81678,99893,130293,174779,280819,342700,875255
22514,76394,81475,99331,126936,164548,278443,365682,853673
22722,76847,82534,96758,127486,164356,288057,344648,843440
22893,77155,81778,96906,137028,163944,288661,359674,853046
22804,76423,81040,98639,139533,164890,279962,351203,802471
26287,77117,80942,98940,139675,168980,277170,373667,853741
23681,77172,81720,104024,130412,165660,281682,350779,894919
23104,76904,81505,101480,140161,165356,279119,344081,846230
23016,76473,83296,98211,135545,163518,278214,347115,862781
22150,76338,81470,97756,135209,164277,279933,353250,925553
22829,77498,81933,100398,137931,165543,280166,354722,827670
22979,76303,81944,96972,134155,164100,280772,360164,858337
