x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
59224115,56335326,57090734,57123521,57167129,57502909,61749234,89755185,70269118
58032539,56311074,57448606,56275220,57634922,57639164,61403212,64390169,79135796
56695584,57611743,56845526,56771853,57228685,57679280,62172905,72260437,70697512
56700217,56921587,56874022,57294870,57235285,57559307,58285472,70679569,84418733
56569721,56666189,57039668,57063250,57226378,57393845,58869341,64633775,71289269
56281774,56598922,56979657,57017698,57534857,58374597,61286554,91882175,68287859
56635190,56270552,57288392,57870972,58252354,58318887,59677570,107122370,86442041
56198788,57238226,56913798,57934420,58607168,58601707,59429455,100224310,72623653
56347784,56843856,56813043,57680053,57452957,58488965,59161022,130558211,80352285
56383401,56363852,56706473,57561576,60378292,58406948,73704735,118868210,71551613
56359592,56464413,56398893,57511134,58095811,57727562,90772887,82705792,81762356
58509600,56691385,56855737,58575796,56973893,57631666,71099394,74668959,74205207
56605895,57346104,57017092,55989784,57662629,57473590,64554712,73640411,70512375
56622468,56863566,56769411,55570357,57809250,57348873,62791498,64896953,72549759
56986105,58192339,56608728,56109705,57347578,57713245,60969442,73873916,64727792
56971523,57583921,61016431,56547257,57530865,57895660,61186035,72052227,80994931
56490452,59099174,59201120,56443013,58223439,57432096,80818725,65679143,74479403
58892234,80132503,56300018,56311627,57725036,57373319,69869245,76898779,73567380
88676617,71506686,56073120,56118238,60100791,59579647,61295474,73686026,77016687
88583260,61175278,56966796,56342344,60227376,59311758,62094702,65774881,86120128
67911982,58317070,55978063,56329801,58357074,57474478,62900662,74374343,71323832
59224479,57689433,57371285,56254042,57383332,57544081,62321589,71941206,84853720
57090396,57491782,56119314,56457466,57443609,58507078,61126015,60708670,74893103
56782767,57147402,56682157,56439813,57528816,58317310,61399434,70085536,67363168
57439377,59063954,76591355,58488634,57931152,58185637,62626682,68055953,68969386
56272993,55692562,90386333,65666926,57507292,58588897,76770615,60590080,67671292
56358290,55863237,89383299,57083023,57974650,58289667,62301328,69704948,80540073
58107079,56627778,88958775,56953928,57704695,57803726,59684637,68907849,76113471
55604264,56845525,88485442,57085935,59310777,57568489,59377953,60918670,83354730
55855233,57406094,82027782,57134338,58205753,57688108,60182894,69537455,74019709
56467363,56468291,55803476,57168217,57594121,57638400,61524354,68533921,80386766
