FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
287733,292974,305984,419956,493270,1060392,5584314,9745434,17568184,29566198,47215694,410484984,266689680,337164014,2637736530,1798737461,2656720704
282392,294746,295342,439790,556516,1033939,5097882,9779773,16528515,28107674,45773297,409390521,263652335,335521983,2628274227,1731779337,2641479115
282364,308845,317012,434949,485148,1048836,3640699,9937618,17591497,29292903,47178908,412032317,257714311,338447689,2732842346,1663221390,2649712521
290821,297125,304260,437804,563176,960686,5676640,9410833,16620728,27840172,45794190,415991593,244455923,335651259,2609068029,1672326611,2632203233
285417,308265,323757,426895,489859,979637,4044470,9352575,17942858,29375745,46988143,409273706,231894827,342751950,2690745755,1670690115,2665618097
284297,288868,309244,428774,531405,916420,5280110,9176170,16730269,27854164,45333586,406682547,227515351,336367024,2793720297,1595640961,2638513951
259219,288909,325505,434968,491261,969924,4046328,9320597,17703467,29531857,47196826,438571127,221505999,337591363,2647352944,1671822798,2648011293
270998,327865,318256,435299,561210,974960,4102346,9903325,16887405,27936497,45617067,402784564,220926854,341676204,2764876897,1766365031,2642827142
266245,288815,300131,439117,481489,871309,5399134,10209220,17439472,29637397,47545270,408135537,218866759,338937887,2697952542,1733341464,2648354794
273880,309023,315877,436223,550589,996849,4025652,9853059,16711179,27654029,45494255,409193557,226264967,335499276,2700401375,1668054397,2642191467
281166,293664,299220,423911,475714,934646,5121809,10938957,17012909,29569094,46888785,437049873,224975015,336784780,2562821757,1656863684,2650703831
287625,301188,306539,439045,538491,932472,3985133,9492991,16558454,27700355,45879889,411595454,212177116,339437354,2669013790,1691577196,2641090859
270419,315785,300819,431695,486449,980100,5202629,9629586,17264024,29863515,47373729,454570410,220752798,339407956,2703588196,1834891389,2867263513
271459,312191,307228,429743,554634,868975,3963065,9784326,16463532,27766691,45746419,404964055,215684946,337910069,2698006937,1850865816,2723915294
272537,306881,304677,441344,484476,965789,5450121,10562473,17344573,29615360,47427187,438123877,210547221,338988067,2653847493,1864807135,2649749701
276339,312403,309850,424933,549530,914736,5398349,9116318,16304171,27628369,45688257,440856280,203244291,338909788,2700589251,1824169535,2642623542
277619,304272,3031932,432805,491516,925743,3573697,8855915,17409323,29585894,47066888,452740709,212911382,343766894,2589355402,1766849055,2647468333
